timestamp,x,y,fix_quality,satellite_count,deviation_to_plan
2025-04-25T16:49:36.237212,34.00,10.00,,,4.000
2025-04-25T16:49:36.582907,35.00,10.00,,,5.000
2025-04-25T16:49:36.920472,36.00,10.00,,,4.000
2025-04-25T16:49:37.253374,37.00,10.00,,,3.000
2025-04-25T16:49:37.601560,38.00,10.00,,,2.000
2025-04-25T16:49:37.952182,39.00,10.00,,,1.000
2025-04-25T16:49:38.303154,39.80,10.00,,,0.200
2025-04-25T16:49:38.654661,40.00,10.00,,,0.000
2025-04-25T16:49:39.074329,41.00,10.00,,,1.000
2025-04-25T16:49:39.421569,42.00,10.00,,,2.000
2025-04-25T16:49:39.766428,43.00,10.00,,,3.000
2025-04-25T16:49:40.113460,44.00,10.00,,,4.000
2025-04-25T16:49:40.507288,45.00,10.00,,,5.000
2025-04-25T16:49:40.770251,46.00,10.00,,,4.000
2025-04-25T16:49:41.126973,47.00,10.00,,,3.000
2025-04-25T16:49:41.498079,48.00,10.00,,,2.000
2025-04-25T16:49:41.625868,49.00,10.00,,,1.000
2025-04-25T16:49:41.777858,49.80,10.00,,,0.200
2025-04-25T16:49:41.803625,50.00,10.00,,,0.000
2025-04-25T16:49:42.062266,51.00,10.00,,,1.000
2025-04-25T16:49:42.392850,52.00,10.00,,,2.000
2025-04-25T16:49:42.748165,53.00,10.00,,,3.000
2025-04-25T16:49:43.079228,54.00,10.00,,,4.000
2025-04-25T16:49:43.425652,55.00,10.00,,,5.000
2025-04-25T16:49:43.771825,56.00,10.00,,,4.000
2025-04-25T16:49:44.127328,57.00,10.00,,,3.000
2025-04-25T16:49:44.474848,58.00,10.00,,,2.000
2025-04-25T16:49:44.814008,59.00,10.00,,,1.000
2025-04-25T16:49:45.159204,59.80,10.00,,,0.200
2025-04-25T16:49:45.513629,60.00,10.00,,,0.000
2025-04-25T16:49:45.876016,61.00,10.00,,,1.000
2025-04-25T16:49:46.211858,62.00,10.00,,,2.000
2025-04-25T16:49:46.562029,63.00,10.00,,,3.000
2025-04-25T16:49:46.909641,64.00,10.00,,,4.000
2025-04-25T16:49:47.240921,65.00,10.00,,,5.000
2025-04-25T16:49:47.587413,66.00,10.00,,,4.000
2025-04-25T16:49:47.927583,67.00,10.00,,,3.000
2025-04-25T16:49:48.276048,68.00,10.00,,,2.000
2025-04-25T16:49:48.639850,69.00,10.00,,,1.000
2025-04-25T16:49:48.987502,69.80,10.00,,,0.200
2025-04-25T16:49:49.319167,70.00,10.00,,,0.000
2025-04-25T16:49:49.687976,71.00,10.00,,,1.000
2025-04-25T16:49:50.041586,72.00,10.00,,,2.000
2025-04-25T16:49:50.374420,73.00,10.00,,,3.000
2025-04-25T16:49:50.736121,74.00,10.00,,,4.000
2025-04-25T16:49:51.074797,75.00,10.00,,,5.000
2025-04-25T16:49:51.412572,76.00,10.00,,,4.000
2025-04-25T16:49:51.785606,77.00,10.00,,,3.000
2025-04-25T16:49:52.233468,78.00,10.00,,,2.000
2025-04-25T16:49:52.596220,79.00,10.00,,,1.000
2025-04-25T16:49:52.938043,79.80,10.00,,,0.200
2025-04-25T16:49:53.286992,80.00,10.00,,,0.000
2025-04-25T16:49:53.647699,81.00,10.00,,,1.000
2025-04-25T16:49:53.986135,82.00,10.00,,,2.000
2025-04-25T16:49:54.333111,83.00,10.00,,,3.000
2025-04-25T16:49:54.686122,84.00,10.00,,,4.000
2025-04-25T16:49:55.017456,85.00,10.00,,,5.000
2025-04-25T16:49:55.370098,86.00,10.00,,,4.000
2025-04-25T16:49:55.719205,87.00,10.00,,,3.000
2025-04-25T16:49:56.068539,88.00,10.00,,,2.000
2025-04-25T16:49:56.415228,89.00,10.00,,,1.000
2025-04-25T16:49:56.872064,89.80,10.00,,,0.200
2025-04-25T16:49:57.218558,90.00,10.00,,,0.000
2025-04-25T16:49:57.593871,91.00,10.00,,,1.000
2025-04-25T16:49:57.932354,92.00,10.00,,,2.000
2025-04-25T16:49:58.263269,93.00,10.00,,,3.000
2025-04-25T16:49:58.599808,94.00,10.00,,,4.000
2025-04-25T16:49:58.961011,95.00,10.00,,,5.000
2025-04-25T16:49:59.298377,96.00,10.00,,,4.000
2025-04-25T16:49:59.644373,97.00,10.00,,,3.000
2025-04-25T16:49:59.975212,98.00,10.00,,,2.000
2025-04-25T16:50:00.346904,99.00,10.00,,,1.000
2025-04-25T16:50:00.694426,99.80,10.00,,,0.200
2025-04-25T16:50:01.047516,100.00,10.00,,,0.000
2025-04-25T16:50:01.410767,100.00,10.00,,,0.000
2025-04-25T16:50:03.060416,100.00,9.00,,,1.000
2025-04-25T16:50:03.455056,100.00,8.00,,,2.000
2025-04-25T16:50:03.810608,100.00,7.00,,,2.000
2025-04-25T16:50:04.158725,100.00,6.00,,,1.000
2025-04-25T16:50:04.505619,100.00,5.20,,,0.200
2025-04-25T16:50:04.842433,100.00,5.00,,,0.000
2025-04-25T16:50:06.932805,100.00,5.00,,,0.000
2025-04-25T16:50:08.770132,99.00,5.00,,,1.000
2025-04-25T16:50:09.132860,98.00,5.00,,,2.000
2025-04-25T16:50:09.486513,97.00,5.00,,,3.000
